figure,panel,method_or_variant,segment_id,x,y,unit_x,unit_y
Fig4,synthesis,full,translation_04,340.0,3.0342439943468476,ms,mm
Fig4,synthesis,full,translation_05,320.0,4.693800875757199,ms,mm
Fig4,synthesis,full,translation_06,345.0,6.6299169907414495,ms,mm
Fig4,synthesis,full,translation_07,335.0,4.947626284647788,ms,mm
Fig4,synthesis,full,translation_08,315.0,4.042835872464696,ms,mm
Fig4,synthesis,full,translation_09,315.0,4.750950340781628,ms,mm
Fig4,synthesis,full,translation_10,320.0,7.930255718414254,ms,mm
Fig4,synthesis,full,translation_11,340.0,6.454242012139736,ms,mm
Fig4,synthesis,full,translation_12,335.0,5.115716205276574,ms,mm
Fig4,synthesis,full,translation_13,300.0,3.6238112626606194,ms,mm
Fig4,synthesis,full,translation_14,325.0,7.06590337564863,ms,mm
Fig4,synthesis,full,translation_15,315.0,4.326975615784684,ms,mm
Fig4,synthesis,full,translation_16,315.0,6.278278630698201,ms,mm
Fig4,synthesis,full,translation_17,325.0,9.340916067811216,ms,mm
Fig4,synthesis,full,translation_18,330.0,9.244782897688113,ms,mm
Fig4,synthesis,disabled,translation_01,290.0,21.504249174066125,ms,mm
Fig4,synthesis,disabled,translation_02,245.0,7.833109678006626,ms,mm
Fig4,synthesis,disabled,translation_03,260.0,10.919797295747182,ms,mm
Fig4,synthesis,disabled,translation_04,265.0,7.736422741629174,ms,mm
Fig4,synthesis,disabled,translation_05,250.0,10.537908519282027,ms,mm
Fig4,synthesis,disabled,translation_06,270.0,11.104237632496615,ms,mm
Fig4,synthesis,disabled,translation_07,265.0,12.481192110119395,ms,mm
Fig4,synthesis,disabled,translation_08,250.0,10.122634474035623,ms,mm
Fig4,synthesis,disabled,translation_09,245.0,8.809188709980232,ms,mm
Fig4,synthesis,disabled,translation_10,255.0,12.4252208153601,ms,mm
Fig4,synthesis,disabled,translation_11,265.0,11.359421568374579,ms,mm
Fig4,synthesis,disabled,translation_12,260.0,12.149237286224569,ms,mm
Fig4,synthesis,disabled,translation_13,235.0,9.453972920421393,ms,mm
Fig4,synthesis,disabled,translation_14,255.0,13.220452361251143,ms,mm
Fig4,synthesis,disabled,translation_15,250.0,9.618168849769768,ms,mm
Fig4,synthesis,disabled,translation_16,245.0,12.236129396068938,ms,mm
Fig4,synthesis,disabled,translation_17,255.0,11.353969703828314,ms,mm
Fig4,synthesis,disabled,translation_18,260.0,10.759306129509962,ms,mm
